excluded_feature,metric,model_name,mean_value,rank
none,ssi,claude_model,0.9528981287730421,1.0
none,ssi,deepseek_model,0.8734064569408134,2.0
none,ssi,gpt5_model,0.5407006155945404,3.0
none,pssi,claude_model,0.875472405252186,2.0
none,pssi,deepseek_model,0.7175632269502369,1.0
none,pssi,gpt5_model,1.1392359493412734,3.0
none,sds,claude_model,0.6406535707196138,2.0
none,sds,deepseek_model,0.5762547634949665,1.0
none,sds,gpt5_model,1.094714474860917,3.0
ast_depth,ssi,claude_model,0.9638067455961415,1.0
ast_depth,ssi,deepseek_model,0.8945028401173393,2.0
ast_depth,ssi,gpt5_model,0.586961871978844,3.0
ast_depth,pssi,claude_model,0.6853227147610743,2.0
ast_depth,pssi,deepseek_model,0.585194710837376,1.0
ast_depth,pssi,gpt5_model,1.000452180180702,3.0
ast_depth,sds,claude_model,0.5048290961327839,2.0
ast_depth,sds,deepseek_model,0.4702087015435662,1.0
ast_depth,sds,gpt5_model,0.9441336624998432,3.0
branch_count,ssi,claude_model,0.9550005482843287,1.0
branch_count,ssi,deepseek_model,0.8806494048435721,2.0
branch_count,ssi,gpt5_model,0.5780383016792243,3.0
branch_count,pssi,claude_model,0.8241806177482155,2.0
branch_count,pssi,deepseek_model,0.6661310618712944,1.0
branch_count,pssi,gpt5_model,0.9511166038474497,3.0
branch_count,sds,claude_model,0.6042952359333067,2.0
branch_count,sds,deepseek_model,0.5345183055155364,1.0
branch_count,sds,gpt5_model,0.9451628288930641,3.0
loop_count,ssi,claude_model,0.9569778626082258,1.0
loop_count,ssi,deepseek_model,0.8804946524691758,2.0
loop_count,ssi,gpt5_model,0.5639814400249027,3.0
loop_count,pssi,claude_model,0.7769762764803207,2.0
loop_count,pssi,deepseek_model,0.6530074312618748,1.0
loop_count,pssi,gpt5_model,0.9903329905732356,3.0
loop_count,sds,claude_model,0.5677891386195468,2.0
loop_count,sds,deepseek_model,0.5214727622918905,1.0
loop_count,sds,gpt5_model,0.9623123639362474,3.0
function_count,ssi,claude_model,0.953667493886298,1.0
function_count,ssi,deepseek_model,0.8792341345801888,2.0
function_count,ssi,gpt5_model,0.5544170245214323,3.0
function_count,pssi,claude_model,0.8292750452096084,2.0
function_count,pssi,deepseek_model,0.6548549279705562,1.0
function_count,pssi,gpt5_model,1.0400708009587867,3.0
function_count,sds,claude_model,0.6050091434992085,2.0
function_count,sds,deepseek_model,0.5259374683529227,1.0
function_count,sds,gpt5_model,0.9844228427594073,3.0
control_flow_ratio,ssi,claude_model,0.9626830677188639,1.0
control_flow_ratio,ssi,deepseek_model,0.8998912671598582,2.0
control_flow_ratio,ssi,gpt5_model,0.5933107057149521,3.0
control_flow_ratio,pssi,claude_model,0.684604406069535,2.0
control_flow_ratio,pssi,deepseek_model,0.5584466233902405,1.0
control_flow_ratio,pssi,gpt5_model,1.014958972419162,3.0
control_flow_ratio,sds,claude_model,0.5106579178403784,2.0
control_flow_ratio,sds,deepseek_model,0.45588500720425484,1.0
control_flow_ratio,sds,gpt5_model,0.9642755634114791,3.0
