metric,model_name,mean,ci_lower,ci_upper,num_problems,n_bootstrap,seed
ssi,claude_model,0.9528981287730423,0.9393786878751251,0.9648091242697981,164,10000,42
ssi,gpt5_model,0.5405869429419328,0.5205933173060795,0.5596514102544711,164,10000,42
ssi,deepseek_model,0.8734064569408133,0.8544336815592323,0.8911377981929592,164,10000,42
pssi,claude_model,0.8754724052521863,0.7837788271420333,0.9705153704628352,164,10000,42
pssi,gpt5_model,1.1392359493412736,1.047268751692471,1.2388126287468566,164,10000,42
pssi,deepseek_model,0.7175632269502371,0.6322815531886998,0.8067149879381711,164,10000,42
sds,claude_model,0.6406535707196136,0.5739172560605125,0.7125728287652302,164,10000,42
sds,gpt5_model,1.0947144748609168,1.0098510554823914,1.1873284095338226,164,10000,42
sds,deepseek_model,0.5762547634949667,0.5102263612701384,0.6453783540326343,164,10000,42
